Common Name,Scientific Name,Order,Clade,Family
Costa Rican Tern,Sterna striata ,Charadriiformes,Clade 2.3.4.4b,
Dovekie,Alle alle,Charadriiformes,Clade 2.3.4.4b,
Dunlin,Calidris alpina,Charadriiformes,Clade 2.3.4.4b,
Elegant Tern,Thalasseus elegans,Charadriiformes,Clade 2.3.4.4b,
Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Clade 2.3.4.4b,
European Herring Gull,Larus argentatus,Charadriiformes,Clade 2.3.4.4b,
Franklin's Gull,Leucophaeus pipixcan,Charadriiformes,Clade 2.3.4.4b,
Glaucous Gull,Larus hyperboreus,Charadriiformes,Clade 2.3.4.4b,
Glaucous Winged Gull,Larus glaucescens,Charadriiformes,Clade 2.3.4.4b,
Gray Gull,Leucophaeus modestus,Charadriiformes,Clade 2.3.4.4b,
Great Black Backed Gull,Larus marinus,Charadriiformes,Clade 2.3.4.4b,
Great Black Headed Gull,Ichthyaetus ichthyaetus,Charadriiformes,Clade 2.3.4.4b,
Greater Yellowlegs,Tringa melanoleuca,Charadriiformes,Clade 2.3.4.4b,
Heermann's Gull,Larus heermanni,Charadriiformes,Clade 2.3.4.4b,
Iceland Gull,Larus glaucoides,Charadriiformes,Clade 2.3.4.4b,
Inca Tern,Larosterna inca,Charadriiformes,Clade 2.3.4.4b,
Ivory Gull,Pagophila eburnea,Charadriiformes,Clade 2.3.4.4b,
Kelp Gull,Larus dominicanus,Charadriiformes,Clade 2.3.4.4b,
Laughing Gull,Leucophaeus atricilla,Charadriiformes,Clade 2.3.4.4b,
Lesser Black Backed Gull,Larus fuscus,Charadriiformes,Clade 2.3.4.4b,
Long Tailed Jaeger,Stercorarius longicaudus,Charadriiformes,Clade 2.3.4.4b,
Parasitic Jaeger,Stercorarius parasiticus,Charadriiformes,Clade 2.3.4.4b,
American Golden-Plover,Pluvialis dominica,Charadriiformes,Clade 2.3.4.4b,
Razorbill,Alca torda,Charadriiformes,Clade 2.3.4.4b,
Red Headed Gull,Larus brunnicephalus,Charadriiformes,Clade 2.3.4.4b,
Red Necked Phalarope,Phalaropus lobatus,Charadriiformes,Clade 2.3.4.4b,
Red Phalarope,Phalaropus fulicarius,Charadriiformes,Clade 2.3.4.4b,
Ring Billed Gull,Larus delawarensis,Charadriiformes,Clade 2.3.4.4b,
Royal Tern,Thalasseus maximus,Charadriiformes,Clade 2.3.4.4b,
Ruddy Turnstone,Arenaria interpres,Charadriiformes,Clade 2.3.4.4b,
Sabine's Gull,Xema sabini,Charadriiformes,Clade 2.3.4.4b,
Sanderling,Calidris alba,Charadriiformes,Clade 2.3.4.4b,
Sandwich Tern,Thalasseus sandvicensis,Charadriiformes,Clade 2.3.4.4b,
Short Billed Gull,Larus brachyrhynchus,Charadriiformes,Clade 2.3.4.4b,
Silver Gull,Chroicocephalus novaehollandiae,Charadriiformes,Clade 2.3.4.4b,
Slaty Backed Gull,Larus schistisagus,Charadriiformes,Clade 2.3.4.4b,
Snowy Plover,Charadrius nivosus,Charadriiformes,Clade 2.3.4.4b,
South American Tern,Sterna hirundinacea,Charadriiformes,Clade 2.3.4.4b,
South Polar Skua,Stercorarius maccormicki,Charadriiformes,Clade 2.3.4.4b,
Spoon Billed Sandpiper,Calidris pygmaea,Charadriiformes,Clade 2.3.4.4b,
Stone Curlew,Burhinus oedicnemus,Charadriiformes,Prior,
Cabot's Tern,Thalasseus acuflavidus,Charadriiformes,Clade 2.3.4.4b,
Thayer's Gull,Larus glaucoides thayeri,Charadriiformes,Clade 2.3.4.4b,
Western Gull,Larus occidentalis,Charadriiformes,Clade 2.3.4.4b,
Western Sandpiper,Calidris mauri,Charadriiformes,Clade 2.3.4.4b,
Western Snowy Plover,Charadrius nivosus nivosus,Charadriiformes,Clade 2.3.4.4b,
Willet,Tringa semipalmata,Charadriiformes,Clade 2.3.4.4b,
American Wood Stork,Mycteria americana,Ciconiiformes,Clade 2.3.4.4b,
Asian Openbill Stork,Anastomus oscitans,Ciconiiformes,Clade 2.3.4.4b,
Marabou Stork,Leptoptilos crumenifer,Ciconiiformes,Clade 2.3.4.4b,
Common Pigeon,Columba livia,Columbiformes,Clade 2.3.4.4b,
Domestic Pigeon,Columba livia domestica,Columbiformes,Clade 2.3.4.4b,
Eurasian Collared Dove,Streptopelia decaocto,Columbiformes,Clade 2.3.4.4b,
Mourning Dove,Zenaida macroura,Columbiformes,Clade 2.3.4.4b,
Turtle Dove,Streptopelia turtur,Columbiformes,Clade 2.3.4.4b,
